AAPL,BAC,COST,GOOGL,HSBC,JNJ,JPM,KR,META,MRNA,PFE,WMT
73.2490234375,32.53140640258789,276.08587646484375,68.43399810791016,33.379886627197266,132.13668823242188,125.94288635253906,26.51374626159668,209.77999877929688,19.229999542236328,32.2395133972168,112.08515167236328
72.53690338134766,31.8559513092041,276.3132019042969,68.07599639892578,32.86268997192383,130.6068572998047,124.2808837890625,26.55075454711914,208.6699981689453,18.889999389648438,32.0665397644043,111.09564208984375
73.1148910522461,31.810304641723633,276.38897705078125,69.8905029296875,32.75248336791992,130.44390869140625,124.18206787109375,26.64325714111328,212.60000610351562,18.1299991607666,32.02534484863281,110.8694839477539
72.77102661132812,31.600370407104492,275.95330810546875,69.75550079345703,32.506595611572266,131.2404327392578,122.07091522216797,26.448991775512695,213.05999755859375,17.780000686645508,31.918272018432617,109.8423080444336
73.9416275024414,31.91983985900879,279.1167907714844,70.25199890136719,32.430294036865234,131.22242736816406,123.02318572998047,26.29172134399414,215.22000122070312,17.979999542236328,32.173614501953125,109.46537017822266
75.51222229003906,31.974607467651367,283.5968017578125,70.989501953125,32.64225387573242,131.6116485595703,123.47238159179688,26.31022071838379,218.3000030517578,18.399999618530273,32.03358459472656,110.59619140625
75.68292236328125,31.709903717041016,281.531982421875,71.447998046875,32.3370246887207,131.31292724609375,122.24159240722656,26.23621368408203,218.05999755859375,19.139999389648438,32.52780532836914,109.67267608642578
77.29985046386719,32.001991271972656,284.02294921875,72.00150299072266,32.659210205078125,131.8922576904297,123.25676727294922,26.29172134399414,221.91000366210938,20.260000228881836,32.4619026184082,109.20148468017578
76.25605010986328,32.23931884765625,283.909423828125,71.52950286865234,32.54051208496094,132.6345672607422,124.69416809082031,26.680269241333008,219.05999755859375,20.0,33.005558013916016,109.48419952392578
75.92926788330078,31.646005630493164,284.9228820800781,71.95999908447266,32.515071868896484,133.07809448242188,122.82553100585938,26.171451568603516,221.14999389648438,20.239999771118164,33.49977111816406,108.63607788085938
76.88038635253906,31.691646575927734,287.01605224609375,72.50800323486328,32.74399185180664,134.1553497314453,123.30166625976562,25.977182388305664,221.77000427246094,21.010000228881836,33.450340270996094,109.22034454345703
77.73152160644531,31.682518005371094,288.578857421875,73.97599792480469,32.87117004394531,135.03338623046875,124.15513610839844,26.041940689086914,222.13999938964844,20.6200008392334,33.367977142333984,108.33451080322266
77.20475006103516,31.271770477294922,296.7054138183594,74.11250305175781,32.15898132324219,135.1239471435547,122.9333267211914,26.282466888427734,221.44000244140625,20.940000534057617,33.22795104980469,108.92820739746094
77.48030853271484,31.363048553466797,295.4078674316406,74.19349670410156,32.27767562866211,134.2006072998047,122.78961181640625,26.245464324951172,221.32000732421875,21.969999313354492,33.10439682006836,109.40880584716797
77.85346221923828,31.143980026245117,296.34552001953125,74.2344970703125,31.98093032836914,134.4540557861328,122.66381072998047,26.31022071838379,219.75999450683594,21.469999313354492,33.532718658447266,109.13552856445312
77.62908935546875,30.61457633972168,294.10076904296875,73.30850219726562,31.811357498168945,134.2639617919922,119.61833190917969,26.07894515991211,217.94000244140625,21.1200008392334,32.79962158203125,107.77850341796875
75.34636688232422,29.98475456237793,293.0968017578125,71.58650207519531,30.955032348632812,134.65321350097656,118.61214447021484,26.20846176147461,214.8699951171875,22.739999771118164,33.07968521118164,109.18264770507812
